z,φ
0.0101,5.3335
3.1416,8.8211
6.2832,4.4106
9.4248,-0.0000
12.5664,-2.2053
15.7080,-1.7643
18.8496,0.0000
21.9912,1.2602
25.1327,1.1027
28.2743,-0.0000
31.4159,-0.8821
34.5575,-0.8019
37.6991,0.0000
40.8407,0.6786
43.9823,0.6301
47.1239,-0.0000
50.2655,-0.5513
53.4071,-0.5189
56.5487,0.0000
59.6903,0.4643
62.8319,0.4411
65.9734,-0.0000
69.1150,-0.4010
72.2566,-0.3835
75.3982,0.0000
78.5398,0.3529
81.6814,0.3393
84.8230,-0.0000
87.9646,-0.3150
91.1062,-0.3042
94.2478,0.0000
97.3894,0.2846
100.5310,0.2757
105.2434,-0.1520
108.3849,-0.2952
111.5265,-0.1435
114.6681,0.1395
117.8097,0.2716
120.9513,0.1323
124.0929,-0.1289
127.2345,-0.2515
130.3761,-0.1227
133.5177,0.1198
136.6593,0.2342
139.8009,0.1144
142.9425,-0.1119
146.0841,-0.2191
149.2256,-0.1072
152.3672,0.1050
155.5088,0.2058
158.6504,0.1009
161.7920,-0.0989
164.9336,-0.1940
168.0752,-0.0952
171.2168,0.0934
174.3584,0.1835
177.5000,0.0901
180.6416,-0.0886
183.7832,-0.1741
186.9248,-0.0856
190.0664,0.0842
193.2079,0.1656
196.3495,0.0815
199.4911,-0.0802
202.6327,-0.1579
205.7743,-0.0778
208.9159,0.0766
212.0575,0.1509
215.1991,0.0743
218.3407,-0.0733
221.4823,-0.1445
224.6239,-0.0712
227.7655,0.0702
230.9071,0.1386
234.0486,0.0684
237.1902,-0.0675
240.3318,-0.1331
243.4734,-0.0657
246.6150,0.0649
249.7566,0.1281
252.8982,0.0633
256.0398,-0.0625
259.1814,-0.1235
262.3230,-0.0610
265.4646,0.0603
268.6062,0.1191
271.7478,0.0589
274.8894,-0.0582
278.0309,-0.1151
281.1725,-0.0569
284.3141,0.0563
287.4557,0.1113
290.5973,0.0551
293.7389,-0.0545
296.8805,-0.1078
300.0221,-0.0533
303.1637,0.0528
306.3053,0.1045
309.4469,0.0517
312.5885,-0.0512
